Domaine d'intervention;STRUCTURE PORTEUSE;ESPACE/LIEUX/SERVICE;ADRESSE;CP;VILLE;INTITULE ACTION;Coordonnées Référent;DESCRIPTION;METHODE ET OUTILS;MODE D'INTERVENTION;PUBLIC CIBLE;SITE INTERNET
ART ET CREATION NUMERIQUE;La Fabulerie;;4 rue de la bibliothèque ;13001;Marseille;LE RECYCLOPHONE : FABRIQUE D'INSTRUMENTS CONNECTES;Tel: 04.13.63.68.30 Mail: contact@lafabulerie.com ;À partir de déchets et d’objets obsolètes sélectionnés avec soin, cette série de deux ateliers permettra de fabriquer de drôles d’instruments de musique ! Un prétexte pour s’initier à la bricole numérique, à la captation sonore et découvrir l’univers de l’électronique libre.;Co-conception et codesign/Petit matériel électronique, Makey Makey, Touch Board;ACTIVITE (2 SEANCES);Public scolaire (collège);
ART ET CREATION NUMERIQUE;La Fabulerie;;4 rue de la bibliothèque ;13001;Marseille;LES FABULEUX TUTOS;Tel: 04.13.63.68.30 Mail: contact@lafabulerie.com ;La Fabulerie lance une petite fabrique de tutoriels en vidéo, destinée à aider chacun à réaliser des créations numériques originales, avec des équipements numériques et matériaux accessibles. Ces tutoriels seront accompagnés de fiches-ateliers complémentaires détaillant davantage les étapes de fabrication. Nous souhaitons que les documents soit publiés en license creative commons et relayés sur différentes plateformes communautaires dédiées au «Faire soi-même et ensemble» ainsi que sur des plateformes-ressources métier (médiateurs, bibliothécaires, enseignants…) et grand public.;Apprendre par le faire / vidéo;ACTIVITE ;Ateliers accessible à 6 personnes max (tout public), Vidéos diffusées auprès du réseau de la médiation numérique : médiateurs, bibliothécaires, enseignants, animateurs…;
ART ET CREATION NUMERIQUE;La Fabulerie;;4 rue de la bibliothèque ;13001;Marseille;ATELIER LIVRE BAVARD;Tel: 04.13.63.68.30 Mail: contact@lafabulerie.com ;"L’atelier LIVRE BAVARD propose aux participants de réaliser de courtes animations en boucles, mettant en scène un personnage, une forme, un mot... Ces animations sont ensuite mises en scène dans le dispositif de réalité augmentée produit par La Fabulerie : Le Livre Bavard. 
Le Livre Bavard est un dispositif créé par la Fabulerie.?Il permet l’ajout de contenu en réalité augmentée à partir d’un livre témoin fourni par la Fabulerie.?Les contenus du livre témoin ainsi que les contenus augmentés sont totalement modifiables, permettant une grande flexibilité.
";Tablettes iPad, Ordinateur, Dispositif Livre Bavard/Écriture d’un scénario, Prises de vues, Création d’un Stop Motion;ACTIVITE ;Tout Public (8 maximum);
ART ET CREATION NUMERIQUE;La Fabulerie;;4 rue de la bibliothèque ;13001;Marseille;VITROGRAM;Tel: 04.13.63.68.30 Mail: contact@lafabulerie.com ;VITROGRAM est un micro-festival de créations numériques se déployant sur des vitrines extérieures du centre-ville de Marseille. Il réunit un ensemble d’œuvres et d’applications numériques réalisées principalement par des jeunes créateurs. Chaque édition du festival VITROGRAM propose une thématique différente. Cette première édition explore “La Ville de Demain”. Chaque oeuvre de VITROGRAM est associée au numéro de l’adresse du lieu qui l’accueille. Ce lieu peut être un lieu privé (commerces, associations, bureaux, Lavomatics...) disposant d’une vitrine ou d’une fenêtre sur la rue ou un lieu public (lieu culturel, université, institutions...) qui souhaite participer au projet. ;3 types de création seront proposés : - Création animée : une création animée est une création en mouvement. Il ne présente ni interaction avec le public, ni évolution dans le temps. C’est une boucle narrative constante. - Création générative : une création générative évolue au fil du temps en fonction de données spécifiques. Ces données peuvent être un contenu fixe, évolutif, ou même aléatoire. (SMS, Tweet, capteurs d’ozone, de bruits…) - Création interactive : une création interactive permet de modifier le contenu d’une projection en temps réel en fonction de mouvements.;MANIFESTATION;Tout public;
ART ET CREATION NUMERIQUE;La Fabulerie;;4 rue de la bibliothèque ;13001;Marseille;ICI DEMAIN;Tel: 04.13.63.68.30 Mail: contact@lafabulerie.com ;Ici Demain est un dispositif-action qui favorise les démarches de concertations créatives d’espaces en transition, en s’appuyant sur la richesse du numérique à travers trois dispositifs combinés : Une Fab’Mobile, 2 unités de réalité virtuelle, une fabrique de cartes postales personnalisées. Chaque dernier dimanche de janvier à novembre 2017, de 11h à 16h, un atelier de création numérique et deux installations interactives seront proposés au public dans les locaux de l’AGAM/SOLEAM. La Fabulerie propose aux habitants et touristes de partager leur vision future de la Canebière. À quoi ressemblera t-elle ? Comment y vivrons-nous ? Comment habitants, passants et artistes l’imaginent- elles en 2050 ?;"Dispositif de réalité virtuelle ""Ici Demain""";Activité;Tout public;
ART ET CREATION NUMERIQUE;La Fabulerie;;4 rue de la bibliothèque ;13001;Marseille;Minimix Musées Paca;Tel: 04.13.63.68.30 Mail: contact@lafabulerie.com ;Minimix Musées PACA est un accompagnement créatif qui organise un espace de dialogue et de «faire» entre des professionnels et des usagers de structures culturelles. Il s’agit de travailler collectivement autour de problématiques (accès aux collections, nouveaux publics, évolution des usages...) et de faire émerger des scénarios innovants de transformation. Cet accompagnement permet notamment d’enrichir l’offre d’accueil et de services proposée aux usagers, de renforcer de nouvelles formes de coopérations et de développer une capacité d’agir au sein d’un écosystème pluriel et ouvert. Suite à l'appel à manifestation Minimix, 2 musées ont été sélectionnés pour accueillir une résidence : Le Musée Bonnard au Cannet et le Musée de Salagon à Mane;Minimix s’appuie sur des facilitateurs tels que le design, la créativité et le numérique ainsi que sur des ressources identifiées (dispositifs de médiation existants) pour faire émerger des idées.;Formation/accompagnement;Minimix s’adresse plus particulièrement aux musées de la Région PACA;
ART ET CREATION NUMERIQUE;La Fabulerie;;4 rue de la bibliothèque ;13001;Marseille;TABLES DE JEU INTÉRACTIVE;Tel: 04.13.63.68.30 Mail: contact@lafabulerie.com ;"Les tables de jeux interactives de la Fabulerie sont des dispositifs de médiation numérique capables d'enrichir un événement ou une exposition en proposant à un public jeune une manipulation ludique d'oeuvres ou d'images (tableaux, illustrations, photos...). Ces jeux sont accessibles via des tables basses interactives adaptées au jeune public. Deux types de jeux sont pour le moment disponibles et adaptables au contenu d'une exposition, d'un événement ou à un thématique précise : Un jeu de puzzle, destiné à reconstituer des images avec le choix de niveau de difficultés; Un jeu de recherche d'intrus, permettant d’insérer dans une image des erreurs à retrouver. D’autres jeux peuvent être développés à la demande.";Les tables de jeux interactives sont des dispositifs en utilisation libre pour les publics. Matériel: ordinateurs tactiles, MSI tout en un intégrés, Caissons tables basses, Applications dédiées Unity;Manifestation;Professionnels de la culture, organisateurs d'événements // dispositif conçu pour le jeune public;
ART ET CREATION NUMERIQUE;La Fabulerie;;4 rue de la bibliothèque ;13001;Marseille;GALERIE DE PORTRAITS NUMÉRIQUES;Tel: 04.13.63.68.30 Mail: contact@lafabulerie.com ;La Galerie de portraits numériques est un dispositif de médiation numérique, constitué de photos encadrées de personnages connus ou non. Malgré l'apparence habituelle de ces portraits photographiés, ceux-ci s'animent : les lèvres bougent et les yeux clignent et suivent le visiteur du regard. Reliés à un casque, ces personnages délivrent au visiteur un message audio : chacun se présente et raconte son parcours de vie, en s’adressant au visiteur. Il revient au visiteur de deviner l'identité de chacun. La galerie de portraits numériques s'adresse au grand public d'un événement ou d'une exposition. Les portraits et contenus audio sont adaptables, donc s'adaptent aisément à une thématique nouvelle. ;"La Galerie de Portraits Numérique est un dispositif en utilisation libre pour les publics. Matériel : • 2 x TV Telefunken TFL19180HD15W Blanc
• 2 x TV Blaupunkt BLA-236/207I
• Combo DVD
• 1 x TV Thomson 28HZ4233W Blanc
• 8 televiseurs télefunken
• 1 tablette Ordi
• 14 Clés USB
• 8 Casques audio HD 202 SENNHEISER";Manifestation ;Professionnels de la culture, organisateurs d'événements // Dispositif conçu pour le tout public ;
ART ET CREATION NUMERIQUE;ANONYMAL;La Maison Numérique;"Le Patio du Bois de l'Aune
1 Place Victor Schoelcher
";13090;Aix-en-Provence;Ateliers Bidouille numérique;04 42 27 25 95  maison.numerique@gmail.com;Venez découvrir l’électronique, la modellisation et l'impression 3D, la programmation et le bricolage numérique !;Atelier en groupe jusqu'à 15 personnes, ordinateurs et matériels de bidouille numérique (imprimante 3D, cartes Arduino…) à disposition, vidéoprojection. Présentation de l'animateur, mise en pratique sur des cas concrets.;Activités et stage de loisirs;Public jeune et tout public;
ART ET CREATION NUMERIQUE;ANONYMAL;La Maison Numérique;"Le Patio du Bois de l'Aune
1 Place Victor Schoelcher
";13090;Aix-en-Provence;Ateliers Vidéo numérique;04 42 27 25 95  maison.numerique@gmail.com;Mash up, Stop Motion, Pocket Film, tutoriel vidéo… venez découvrir et pratiquer les nouvelles formes de production audio-visuelles;Atelier en groupe jusqu'à 15 personnes, ordinateurs et matériels audio-visuels à disposition, vidéoprojection. Présentation de l'animateur, production des participants.;Activités et stage de loisirs;Public jeune et tout public;
ART ET CREATION NUMERIQUE;ANONYMAL;La Maison Numérique;"Le Patio du Bois de l'Aune
1 Place Victor Schoelcher
";13090;Aix-en-Provence;Open Bidouille Camp;04 42 64 59 75 coordnum@anonymal.tv;Foire à la fabrication numérique, stands et ateliers;50 stands de présentation de projet et techniques. 10 ateliers de pratiques et d'expérimentation;Manifestation;Tout public, public jeune, associations, collectivités, entreprises.;
ART ET CREATION NUMERIQUE;CatchU;FUVLAB;62 avenue Ferdinand Arnaud;13850;Gréasque;De?couverte de la musique e?lectronique (MAO) ;jpcarmona@fuvlab.org ;De?couverte des outils de cre?ation sonore nume?riques, bricolage, e?lectronique, musique collaborative;PureData, LMMS ;Activite? ;Adulte, Ados a? partir de 13 ans ;
ART ET CREATION NUMERIQUE;CatchU;FUVLAB;62 avenue Ferdinand Arnaud;13850;Gréasque;De?couverte de la mode?lisation 3D ;sdecaro@fuvlab.org ;De?couverte de la mode?lisation et de l'impression 3D a? l'aide d'outils simples accessibles aux de?butants. ;Outils de modelisation 3D, Imprimantes 3D;Activite? ;Adulte, Ados a? partir de 13 ans ;
ART ET CREATION NUMERIQUE;Imédias;;Place du foirail ;13140;Miramas ;Comprendre son appareil photo numérique reflex;Tel: 07 77 72 53 81 – 06 64 98 79 58 Mail: mail2022@aol.co;Cet atelier d'initiation et de compréhension de son reflex propose l'acquisition des bases afin de réaliser des photos avec son appareil photo numérique. Un atelier qui vous permettra de parfaitement utiliser les outils de votre reflex ton en revenant aux fondamentaux de la prise de vue.;5 ordinateurs portables et un appareil photo numérique reflex;"Activité / Stage de loisir
Ateliers collectifs, regroupement pour la pratique d’une activité, d’une discipline et/ou la réalisation d’un projet, conçu et rythmé par un animateur professionnel.
";Tout public à partir de 16 ans;
ART ET CREATION NUMERIQUE;Imédias;;Place du foirail ;13140;Miramas ;Création de jeu vidéo en 3 dimensions;Tel: 07 77 72 53 81 – 06 64 98 79 58 Mail: mail2022@aol.co;Animation autour des techniques de création 3D et de création de jeu vidéo. ;; Ateliers au sein de l'établissement;Collégiens –;
ART ET CREATION NUMERIQUE;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";Service des Espaces Publics Numériques;Rond point de l'Hotel de ville BP 90104;13693;Martigues Cedex;Dessinons !;Tel: 04 42 80 27 97 Mail: vincent.laroche@paysdemartigues.fr, david.morin@paysdemartigues.fr, nasserdine.boumaza@paysdemartigues.fr;"Concours de dessins :
1 – initiation des participants à la tablette graphique
2 – mise en place du concours sur divers dessins (une sorte de « dessiner c'est gagné »)
 Les participants auront plusieurs dessins à faire à partir de leur imagination en fonction des thèmes prédéfinis et dans un certain laps de temps
3 – Réutilisation des dessins créés pour les ateliers de création de jeux vidéos
";"Méthodes active
Concours
";"Ateliers collectifs
Accompagnement individuel
";Adolescents;
ART ET CREATION NUMERIQUE;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";Service des Espaces Publics Numériques;Rond point de l'Hotel de ville BP 90104;13693;Martigues Cedex;Images Num;;"Prise de vue, Initiation à l'appareil photo / 5 séances , Gestion des images / 2 séances, Initiation à la retouche Photos / 5 séances, Traitement des images avec des logiciels libres / 2 séances

";"Ateliers de pratiques
Méthodes actives
";Activités sous forme d'ateliers de loisirs;Tout public;
ART ET CREATION NUMERIQUE;"


MÉTROPOLE AIX MARSEILLE PROVENCE
CONSEIL DE TERRITOIRE 6
Martigues, Port-de-Bouc et Saint-Mitre-les-Remparts

";Service des Espaces Publics Numériques;Rond point de l'Hotel de ville BP 90104;13693;Martigues Cedex;Vidéo Lab';"Tel: 04 42 80 27 97 Mail: hassen.sahel@paysdemartigues.fr, vincent.laroche@paysdemartigues.fr
";Sensibilisation… Images, cinéma, journalisme !, Écriture et préparation d'un sujet, Tournage,  Montage;Méthode active, mise en situation;"Stage de loisirs
Ateliers collectifs
";Tout public (jeunes et adultes);
INSERTION ET FORMATION PROFESSIONNELLE;ZINC;La Friche la Belle de Mai ;41 Rue Jobin ;13003;Marseille;FABLAB ET FABRICATION NUMÉRIQUE;Tel : 04 95 04 95 12  Mail: cgiordano@zinclafriche.org;"Cette formation vous permettra de faire le tour du matériel courant des fablabs (imprimantes 3d, découpe laser, CNC et autres outils). Ces trois jours permettront aux stagiaires de pouvoir commencer à se servir de chaque machine et d’en connaître le fonctionnement, les avantages et inconvénients ainsi que de repérer la machine et/ou le corpus d’outils le plus adapté à la réalisation d’un projet. Présentation du fablab 
Philosophie; les outils du fablab : comprehension du fonctionnement des machines; la documentation; les outils collaboratifs

Impression 3d et modélisation 3d 
Les différents logiciels: Blender; Freecad; Openscad; “Slicer” son modèle 3d avec Cura ou Repetier; Impression 3d et maintenance machine.

Dessin vectoriel et usage d’une CNC 
Dessin vectoriel sur Inkscape, Freecad; Chaîne logicielle CNC Cambam, Mach3 et équivalence libres; Préparation machine et usinage sur fraiseuse à commande numérique.

Découpe laser 
Dessin vectoriel; Générateur de boîtes; Assemblage et technique avancées de découpe et de gravure; Préparation machine et usinage de projets.

Programmation interactive - Arduino
Bases d’électronique, programmation sur Arduino.
";;Formation;Toute personne intéressée par la fabrication numérique et ses possibilités. Porteur de projets de fablab et d’atelier collaboratif. Professeurs d’art graphiques, technologie, sciences qui souhaite découvrir les machines à commande numérique.;
INSERTION ET FORMATION PROFESSIONNELLE;ZINC;La Friche la Belle de Mai ;41 Rue Jobin ;13003;Marseille;Découverte et maîtrise des outils collaboratifs en ligne. Collaborer et s’organiser de manière connectée;Tel : 04 95 04 95 12  Mail: cgiordano@zinclafriche.org;La formation a pour objectif de se familiariser avec un panel d’outils en ligne, collaboration en ligne, au carrefour des pratiques avec une organisation du travail de plus en plus connectée.;;Formation;"Professionnel(le)s 
d’établissements (bibliothèque, musées, etc.) et de collectivitées publiques 
› Professionnel(le)s des EPN, de la communication numérique, de l’informatique, de la culture, du développement économique, du tourisme...
› Personnes en charge de l’organisation des équipes
";
INSERTION ET FORMATION PROFESSIONNELLE;ZINC;La Friche la Belle de Mai ;41 Rue Jobin ;13003;Marseille;Déployer un ATELIER DE FABRICATION dans votre établissement;Tel : 04 95 04 95 12  Mail: cgiordano@zinclafriche.org;Les ateliers de fabrication s’inscrivent dans une dynamique d’échanges chère à la communauté open source sur Internet : les plans de fabrication, conseils, logiciels libres sont partagés. Les ateliers de fabrication visent notamment deux objectifs : • permettre la réalisation d’objets physiques à partir de leurs représentations numériques, • s’associer à une communauté d’acteurs de tous horizons pour développer la créativité et permettre un libre accès à des technologies et des savoir-faire. La formation s’attachera à aborder les points de convergence et de vitalité entre ce modèle culturel alternatif et les modèles institutionnels en pleine mutation des bibliothèques, musées, structures scolaires et autres lieux d’accueil public. Ce temps de formation vous permettra d’appréhender et de construire les étapes de travail pour  la mise en place d’un lieu de fabrication numérique utilisant les machines outils et les machines à commandes numérique et convoquant les savoir-faire techniques liés à leur utilisation.;;Formation;"Professionnel(le)s 
d’établissements (bibliothèque, musées, etc.) et de collectivités publiques 
Professionnel(le)s 
des EPN, de la communication numérique, de l’informatique, de la culture, du développement économique, du tourisme...
";
INSERTION ET FORMATION PROFESSIONNELLE;ZINC;La Friche la Belle de Mai ;41 Rue Jobin ;13003;Marseille;"WEB DESIGN: Initiation HTML, CSS & JS
Découverte et initiation au web design
";Tel : 04 95 04 95 12  Mail: cgiordano@zinclafriche.org;"Initiation au design web et développement “front end”. Cette formation vous permettra d’avoir une vue d’ensemble de la réalisation d’une page web, d’acquérir les bases et les outils nécessaires à la structuration des données, leur mise en forme, l’animation.

WEB = HTML + CSS + JS
Un petit peu d’histoire et caractéristiques majeures du HTML…
HTML 5 nouveautés
CSS 3 nouveautés
JS pour quoi faire ?

HTML 5 - structuration des données 
HTML / CSS & le DOM
Les logiciels nécessaires
Éditeur en ligne
Structurer une page web
Créer un site “Onepage”
";;Formation;"Chargé(e)s de communication, animateur(rice)s culturelles 
Toute personne intéressée par le web-design ayant des bases de design graphiques ou de programmation.
";
INSERTION ET FORMATION PROFESSIONNELLE;ZINC;La Friche la Belle de Mai ;41 Rue Jobin ;13003;Marseille;"Programmation interactive 

";Tel : 04 95 04 95 12  Mail: cgiordano@zinclafriche.org;Découverte et initiation aux techniques interactives. Arduino, Processing et Pure Data;;Formation;"Artistes, designers, techniciens audiovisuels, compositeurs, VJ, graphistes.
Professeurs d’art graphique, musique, technologie, sciences qui souhaitent découvrir ces outils.
";
INSERTION ET FORMATION PROFESSIONNELLE;ZINC;La Friche la Belle de Mai ;41 Rue Jobin ;13003;Marseille;Développer un projet culturel numérique EN BIBLIOTHÈQUE;Tel : 04 95 04 95 12  Mail: cgiordano@zinclafriche.org;"La bibliothèque en régime numérique

Permettre l’acquisition de repères théoriques, d’outils méthodologiques et d’expériences de terrain permettant d’appréhender les diverses formes et pratiques de médiation et d’éducation artistique et culturelle à l’ère du numérique.

Nous aborderons les nouvelles formes d’expériences numériques qui intègrent l’évaluation, la médiation, et la relation partagée avec l’usager, sous toutes ses formes (atelier de fabrication, médialab, programmation d’ateliers de pratiques créatives numériques…).

L’objectif de cette formation est d’accompagner le personnel des bibliothèques sur les services numériques et les nouveaux usages collaboratifs pouvant enrichir l’offre de médiation de la bibliothèque, et d’intégrer le numérique dans leurs pratiques professionnelles ainsi que les propositions d’activités faites aux publics.

Nous souhaitons ainsi transmettre un socle théorique au développement de projets culturels numériques dans l’établissement tout en proposant un apprentissage technique autour d’outils - vidéo, son et écriture - simples à mettre en œuvre.
";;Formation;Personnels des bibliothèques et médiathèques;
INSERTION ET FORMATION PROFESSIONNELLE;Accès Informatique et Multimédia ;Maison Vie Associative,;Le Ligourès, place Romée de Villeneuve,;13090;Aix en Provence;Passeport de Compétences Informatiques Européen;Tel : 09 80 47 72 01 Mail : acces-informatique@live.fr ;Gestion des documents, Internet et communication, Traitement de texte, Tableur, Présentations et Bases de données.;Ordinateurs portables, vidéo projecteurs, supports de cours, …;Formation en petits groupes. A partir de 2 apprenants.;Demandeurs d’emploi, salariés, étudiants ;
INSERTION ET FORMATION PROFESSIONNELLE;ADPEI;Adriatic, ERIC;18 Boulevard Camille Flammarion;13001;Marseille;Parcours Numérique;Tel : 06 37 75 70 18 Mail : v.reveau@adpei.org ; Initiation à l’utilisation d’un ordinateur et d’une tablette, Les différents usages d’internet et les modes d’utilisation, Savoir utiliser les moteurs de recherche,  Découvrir les sites internet utiles dans le cadre de démarche d’insertion professionnelle, Création et gestion d’une boite email, Découvrir et gérer son espace personnel Pôle-emploi;L’Adpei a développé une méthode pédagogique spécifiquement adaptée aux personnes de premier niveau de qualification, en alternant ateliers collectifs et exercices individuels. Outils : 10 ordinateurs / 10 tablettes;Formation collective;Personnes en insertion professionnelle. Salariés en contrats aidés;
INSERTION ET FORMATION PROFESSIONNELLE;ADPEI;;18 Boulevard Camille Flammarion;13001;Marseille;Initiation à l’informatique ;Tel : 06 37 75 70 18 Mail : v.reveau@adpei.org ;Initiation à l’utilisation d’internet , d'une boite email, d'une tablette ou d'un smartphone. Effectuer des démarches administratives en ligne. Découvrir les sites internet utiles dans sa recherche d’emploi .  Créer son CV et le mettre en forme ;L’Adpei a développé une méthode pédagogique spécifiquement adaptée aux personnes de premier niveau de qualification, qui alterne ateliers collectifs et exercices individuels.Outils : 10 ordinateurs / 10 tablettes;ormation collective ou individuelle;Personnes en insertion professionnelle. Salariés en contrats aidés;
INSERTION ET FORMATION PROFESSIONNELLE;ADPEI;;18 Boulevard Camille Flammarion;13001;Marseille;ORE : Optimiser sa recherche d’emploi grâce au numérique;Tel : 06 37 75 70 18 Mail : v.reveau@adpei.org ;Les sites internet incontournables pour la recherche d’emploi, Utiliser de manière efficace les ressources de son espace personnel sur  pole emploi et de l’emploi store, Mettre en forme son CV sur Google drive, Savoir rechercher des informations pertinentes, Envoyer des candidatures;Méthode pédagogique : formation-action. Les exercices sont adaptés par rapport au projet professionnel de chaque participant. Outils : 10 ordinateurs / 10 tablettes;;Personnes en insertion professionnelle (demandeurs d’emploi, allocataires du RSA, etc.);
INSERTION ET FORMATION PROFESSIONNELLE;ADPEI;;18 Boulevard Camille Flammarion;13001;Marseille;Formation Initiation aux outils bureautiques;Tel : 06 37 75 70 18 Mail : v.reveau@adpei.org ;"Word : mise en forme d’un document et création de modèle, insertion et mise en forme d’un tableau, publipostage ; Excel : mise en forme d’un tableau, formules de calculs de base, tri et filtres; Outlook : organisation de sa boite email, calendrier, contacts";Alternance entre présentation théorique, démonstration en groupe et exercices individuels. Adaptation aux outils utilisés par les participants avec la possibilité de pratiquer des exercices sur-mesure. Outils : 10 ordinateurs ;Formation;Salariés ;
INSERTION ET FORMATION PROFESSIONNELLE;ADPEI;;18 Boulevard Camille Flammarion;13001;Marseille;Utiliser les réseaux sociaux pour développer ses réseaux professionnels et valoriser les projets de sa structure ;Tel : 06 37 75 70 18 Mail : v.reveau@adpei.org ;Comprendre le fonctionnement des réseaux sociaux (facebook, linkedin, youtube, etc.), Contrôler son image numérique et sa e-réputation, Créer une page pour sa structure et valoriser ses actions sur les réseaux sociaux, Créer et animer des groupes sur les réseaux sociaux;La méthode pédagogique utilisée est celle de la formation-action. Tout au long de la formation, les participants utiliseront les réseaux sociaux pour travailler autour d’un projet fictif qui leur permettra de mettre en application les contenus théoriques. Outils : 10 ordinateurs / 10 tablettes;Formation;Salariés / Professionnels;
INSERTION ET FORMATION PROFESSIONNELLE;ADPEI;;18 Boulevard Camille Flammarion;13001;Marseille;Travailler en réseau grâce aux outils numériques ;Tel : 06 37 75 70 18 Mail : v.reveau@adpei.org ;Partager des documents sur les « clouds » : créer un espace collaboratif sur google drive et blocs notes en ligne (framapad), Organiser des réunions et des sondages, Gestion de la confidentialité des informations, Collecter, classer et partager sa recherche d’information grâce aux socialbookmark ;La méthode pédagogique utilisée est celle de la formation-action. Tout au long de la formation, les participants utiliseront les outils numériques pour travailler autour d’un projet fictif qui leur permettra de mettre en application les contenus théoriques.10 ordinateurs / 10 tablettes;Formation;Salariés / Professionnels;
INSERTION ET FORMATION PROFESSIONNELLE;ADPEI;;18 Boulevard Camille Flammarion;13001;Marseille;Formation à destination des professionnels de l’action sociale et médico-sociale: Comment accompagner les bénéficiaires dans leurs démarches administratives et d’insertion socio-professionnelle via le numérique ?;;"Connaitre l’ensemble des sites spécialisés pour l’insertion et l’emploi; Méthodologie à adopter pour initier les personnes en insertion au numérique; Créer des ateliers d’initiation informatique dans sa structure : transfert de savoir-faire";Ce module est conçu pour tenir compte des spécificités du travail social. Le contenu et les exercices seront adaptés en fonction des besoins des bénéficiaires de la structure et de son mode d’organisation. Transfert de méthodologie et d’outils. Outils : 10 ordinateurs / 10 tablettes;Formation de formateurS;Professionnels de l’action sociale et médico-sociale;
INSERTION ET FORMATION PROFESSIONNELLE;La Fabulerie;;4 rue de la bibliothèque ;13001;Marseille;FORMATION LIVRE SONORE;Tel: 04.13.63.68.30 Mail: contact@lafabulerie.com ;Que ce soit pour soutenir un projet de créations d’affiches sonores, de cartographie interactive, ou de livre connecté, cette formation permettra à l’équipe et aux partenaires de la bibliothèque (6 personnes maximum) de s’approprier facilement des outils permettant de créer une interaction sonore sans ordinateur. Il s’agira alors d’imaginer et d’enrichir des espaces dans la bibliothèque qui pourraient être rendu sonores.;"Déroulé : Présentation d’une veille ; Explications et appropriation technique; Tests et réalisations concrètes des participants ; Foire aux questions";FORMATION;Médiateurs culturels et numériques, bibliothécaires, animateurs;
INSERTION ET FORMATION PROFESSIONNELLE;La Fabulerie;;4 rue de la bibliothèque ;13001;Marseille;BRICOLAGE NUMÉRIQUE ET RECYCLAGE CRÉATIF;Tel: 04.13.63.68.30 Mail: contact@lafabulerie.com ;L’interactivité s’immisce de plus en plus dans nos usages quotidiens : dans nos maisons, à travers nos outils de communication, nos espaces de jeux, nos outils d’apprentissage. Les possibles de l’interactivité sont aujourd’hui rendus accessibles à tous grâce à l’utilisation de dispositifs simples, encourageant la créativité. Les possibles sont infinis et les court-circuit impossibles. Cette formation propose de découvrir les bases de l’interactivité afin de proposer des ateliers de bricolage numérique accessibles et ludiques : une nouvelle façon de mettre le pouvoir de l’électronique à la portée de tous !;"Déroulé : Inspiration et exploration ; Découverte d’usages innovants ; Échange, partage; Conception collective d’un format d’intervention; Prise en main des outils; Mise en pratique et cas d’usage à traiter";FORMATION;Médiateurs culturels et numériques, bibliothécaires, animateurs, enseignants, éducateurs... souhaitant enrichir leur offre de médiation auprès de leur(s) public(s) ou construire un projet culturel ou éducatif;
INSERTION ET FORMATION PROFESSIONNELLE;La Fabulerie;;4 rue de la bibliothèque ;13001;Marseille;MUSIQUE ET INTERACTIVITÉ;Tel: 04.13.63.68.30 Mail: contact@lafabulerie.com ;Grâce aux outils numériques il est aujourd’hui possible de créer ses propres productions sonores, sans avoir recours à de la programmation. Connecter des objets physiques (mobilier, encre conductrice, plantes, personnes, eau, objets divers...) à des sons numériques est rendu possible grâce à l’utilisation de circuits imprimés simplifiés et de logiciels de création sonores. Cette formation propose d’explorer ces techniques afin d’organiser des ateliers de création d’éléments sonores et interactifs avec vos publics.;"Déroulé :  Découverte d’usages et réalisations inspirantes ; Inspiration et exploration conception collective d’un format d’intervention; Prise en main des outils; Mise en pratique et cas d’usage à traiter";FORMATION;Médiateurs culturels et numériques, bibliothécaires, animateurs, enseignants, éducateurs... souhaitant enrichir leur offre de médiation auprès de leur(s) public(s) ou construire un projet culturel ou éducatif;
INSERTION ET FORMATION PROFESSIONNELLE;La Fabulerie;;4 rue de la bibliothèque ;13001;Marseille;PAPIERS ET RECITS INTERACTIFS;Tel: 04.13.63.68.30 Mail: contact@lafabulerie.com ;Livres et papiers interactifs permettent aujourd’hui d’enrichir ou de raconter différemment un récit, d'interagir avec un contenu ou de l’actualiser. S’hybrident alors à l’objet livre, contenus audio, textuels ou visuels, accessibles à l’aide d’un écran ou non. De nombreuses technologies permettent d’enrichir et prolonger l’expérience du papier (QR code, NFC, encres conductrices, réalité augmentée, reconnaissance visuelle...).Cette formation propose d’explorer ces technologies à travers des procédés simples et accessibles, afin de produire soit même des documents interactifs et élargir le champ des usages liés.;"Déroulé : - Découverte de la boite outils; Inspiration et exploration; Échange, partage; - Conception collective de format de médiation;?Prise en main des outils;?Mise en pratique et cas d’usage à expérimenter.";FORMATION;Médiateurs culturels et numériques, bibliothécaires, animateurs, enseignants, éducateurs... souhaitant enrichir leur offre de médiation auprès de leur(s) public(s) ou construire un projet culturel ou éducatif;
